"","PROJECT_NUMBER","NEPA_NAME","REGION","NEPA_STATUS","INIT_DATE","DECISION_DATE","NEPA_TYPE","APPEALED","LITIGATED","ELAPSED_DAYS","DECISION_LEVEL","plan.date.min","plan.date.max","comp.date.min","comp.date.max","num.units.plan","num.units.comp","med.time.lag","th","hf","rf","tsi","completed","act.count","proj.dur.plan","proj.dur.comp","proj.delay","COMPLETED","INITIATED","max_date","max.delay","YP","size"
"1495",52918,"Brian Head Fire Rehabilitation Project","4","Complete","12/20/17","7/10/18","EA","0","0",202,"Ranger District/Mgt Unit","2018-08-18","2018-08-18","2018-09-30","2018-09-30",29,29,43,1,0,0,0,1,1,1,1,43,1,1,"2018-12-31",135,2018,"small"
"1496",27773,"Navajo Basin Forest and Scenic  Recovery","4","Complete","4/15/11","3/21/12","EA","0","0",341,"Ranger District/Mgt Unit","2012-01-06","2012-09-03","2012-09-19",NA,1982,1982,1688,0.230769230769231,0.538461538461538,0.0384615384615385,0.192307692307692,0.961538461538462,26,242,NA,257,0,1,"2018-12-31",2551,2012,"large"
"1497",27708,"Henrie Knolls Fuels Treatment","4","Complete","3/26/09","5/22/09","EA","0","0",57,"Ranger District/Mgt Unit","2006-10-30","2013-09-02","2010-06-03","2016-11-28",823,823,828,0,1,0,0,1,5,2500,2371,1312,1,1,"2018-12-31",4445,2006,"large"
"1498",52733,"Highway 143 and Forest Service Road 050 Salvage Project","4","Complete","10/20/17","1/17/18","CE","0","0",89,"Ranger District/Mgt Unit","2018-04-12","2018-04-12","2018-10-25","2018-10-25",100.8,100.8,196,1,0,0,0,1,3,1,1,196,1,1,"2018-12-31",263,2018,"small"
"1499",21890,"King Creek Campground Non-Commercial Thinning","4","Complete","2/8/08","8/19/08","CE","0","0",193,"Ranger District/Mgt Unit","2007-01-15","2007-01-15","2008-12-04",NA,223,223,691.5,0,0.666666666666667,0,0.333333333333333,0.666666666666667,3,1,NA,689,0,1,"2018-12-31",4368,2007,"medium"
"1500",42922,"Henrie Knolls North Vegetation Treatment","4","Complete","11/21/14","10/2/15","EA","0","0",315,"Ranger District/Mgt Unit","2011-12-01","2018-06-01","2016-05-12","2018-12-19",8087,8087,1114,0,0.870967741935484,0,0.129032258064516,1,62,2375,952,1624,1,1,"2018-12-31",2587,2011,"x-large"
"1501",17123,"Bug Lake Salvage Project","4","Complete","8/16/06","2/9/07","CE","1","0",177,"Ranger District/Mgt Unit","2007-09-04","2007-09-04","2007-09-04","2007-09-04",494,474,0,0.5,0.5,0,0,1,2,1,1,0,1,1,"2018-12-31",4136,2007,"medium"
"1502",11423,"Henrie Knoll Prescribed Burn","4","Complete","9/6/05","8/21/06","CE","0","0",349,"Ranger District/Mgt Unit","2006-01-06","2008-03-06","2006-11-11","2013-04-29",3205,3205,240,0,1,0,0,1,5,791,2362,309,1,1,"2018-12-31",4742,2006,"x-large"
"1503",10093,"South Fork Pinto Creek Road Relocation","4","Complete","1/21/05","8/22/05","EA","0","0",213,"Ranger District/Mgt Unit","2007-10-01","2007-10-01",NA,NA,10,0,NA,0,1,0,0,0,1,1,NA,4109,0,0,"2018-12-31",4109,2007,"small"
"1504",23671,"Toad Salvage and Reforestation","4","Complete","3/19/08","5/22/08","CE","1","0",64,"Ranger District/Mgt Unit","2008-05-22","2014-04-05","2011-04-26","2014-04-13",307,307,6.5,0,0,1,0,1,4,2145,1084,1069,1,1,"2018-12-31",3875,2008,"medium"
